StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,DemographicQ1,DemographicQ2,DemographicQ2_5_TEXT,DemographicQ3,DemographicQ4,DemographicQ5,SmellsQ1,SmellsQ2_1,SmellsQ2_2,SmellsQ2_3,SmellsQ2_4,SmellsQ2_5,SmellsQ2_6,SmellsQ2_7,SmellsQ2_8,SmellsQ2_9,SmellsQ2_10,SmellsQ2_11,SmellsQ3_1,SmellsQ3_2,SmellsQ3_3,SmellsQ3_4,SmellsQ3_5,SmellsQ3_6,SmellsQ3_7,SmellsQ3_8,SmellsQ3_9,SmellsQ3_10,SmellsQ3_11,SmellQ1,SmellQ2,SmellQ3,SmellQ4,SmellQ5,Smell2Q1,Smell2Q2,Smell2Q3,Smell2Q4,Smell2Q5,AdditionalsQ1,smell,description,example,solution,smell2,description2,example2,solution2
2022-06-02 01:29:19,2022-06-02 06:36:15,IP Address,100,18416,True,2022-06-02 06:36:16,R_3mdEm5ogZIXM0Yi,anonymous,EN,Belgium,Technical Lead,,3-4 years,"Java,JavaScript",MongoDB Node.js Driver,Database accesses spread across the system,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,Regularly - I see them as recurring problems in our projects.,Regularly - I see them as recurring problems in our projects.,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,Never,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Unsure - Cannot answer,Unsure - Cannot answer,"Somewhat – Yes, but I would not refactor it",Unsure - Cannot answer,Unsure - Cannot answer,No – I would not refactor it,Unsure - Cannot answer,"Somewhat – Yes, but I would not refactor it","Somewhat – Yes, but I would not refactor it",No – I would not refactor it,Unsure - Cannot answer,"Yes, it fixes the problem.",,,No,,"Yes, it fixes the problem.",,,No,,,Storage of empty values,"<p>One of the main advantages of MongoDB is schema flexibility. As there is no fixed structure for a document inside a collection, it is not necessary to store an empty value (null, undefined, """") if a document does not possess this attribute. It could take unnecessary disk space as there are <code>exists</code> operators checking the existence of a field
Read more <a href=""https://stackoverflow.com/questions/12403240/storing-null-vs-not-storing-the-key-at-all-in-mongodb"" target=""_blank"">here</a>, <a href=""https://www.mongodb.com/community/forums/t/not-including-fields-vs-storing-fields-with-a-null-value/8028"" target=""_blank"">here</a> and <a href=""https://www.linkedin.com/pulse/big-data-anti-patterns-marc-kenig/"" target=""_blank"">here</a>.</p>","<pre><code>db.users.insert({""firstname"": ""John"", ""surname"": ""Doe"", ""age"": null})</code></pre>","The empty age field can be omitted:
<pre><code>db.users.insert({""firstname"": ""John"", ""surname"": ""Doe""})</code></pre>",Inconsistent attribute order,"<p>MongoDB allows flexibility, but a consistent attribute order is necessary when searching for documents. Breaking this rule can lead to incomplete query results.</p>","<p>Suppose the following collection:</p>
<pre><code>db={
  ""books"": [
    {
      ""_id"": 1,
      ""isbn"": 9780140817744,
      ""author"": {
        ""surname"": ""Orwell"",
        ""firstname"": ""George""
      },
      ""title"": ""1984"" 
    },
    {
      ""_id"": 2,
      ""isbn"": 9780631120001,
      ""author"": {
        ""firstname"": ""Ludwig"",
        ""surname"": ""Wittgenstein""
      },
      ""title"": ""On certainty""
    }
  ]
}</code></pre>

<p>The following query would not result in any document because of the wrong field order:</p>
<pre><code>
db.books.find({
  ""author"": {
    ""firstname"": ""George"",
    ""surname"": ""Orwell""
  }
})</code></pre>","The order of author's attributes should be consistent:

<pre><code>db={
  ""books"": [
    {
      ""_id"": 1,
      ""isbn"": 9780140817744,
      ""author"": {
        ""firstname"": ""George"",
        ""surname"": ""Orwell""
      },
      ""title"": ""1984""
    },
    {
      ""_id"": 2,
      ""isbn"": 9780631120001,
      ""author"": {
        ""firstname"": ""Ludwig"",
        ""surname"": ""Wittgenstein""
      },
      ""title"": ""On certainty""
    } 
  ]
}</code></pre>"
2022-05-30 02:20:55,2022-05-30 02:24:00,IP Address,73,185,False,2022-06-06 02:24:12,R_1ruh04YeOT9KEIm,anonymous,EN,France,Technical Lead,,1-2 years,"Java,JavaScript","MongoDB Java Driver,Mongoose","Separating data accessed together,Use of relational collections",Sometimes - I observed them only in few projects and commits.,Never,Never,Regularly - I see them as recurring problems in our projects.,Never,Never,Never,Never,Never,Never,Never,"Significantly – Yes, I would refactor it",No – I would not refactor it,No – I would not refactor it,Unsure - Cannot answer,No – I would not refactor it,No – I would not refactor it,No – I would not refactor it,No – I would not refactor it,No – I would not refactor it,No – I would not refactor it,No – I would not refactor it,"Yes, but it's a partial fix to the problem.",,,No,,,,,,,,Abusive use of indexes,"<p>Indexes in MongoDB are powerful and necessary to improve query performance, but their maintenance requires resources. Too many unnecessary indexes can take too much storage and increase CPU usage.

Read more <a href=""https://www.mongodb.com/developer/article/schema-design-anti-pattern-unnecessary-indexes/"" target=""_blank"">here</a>.</p>","<p>Suppose a collection with several attributes where each attribute has an index; however, the collection is searched through only a few attributes.</p>",<p>Remove the indices of the attributes which are not used to search for documents in the collection.</p>,Storage of easily computed values,"<p>Storing easily calculated values unnecessarily takes storage space. Rarely they can improve performance, but their storage is unnecessary when they can be easily calculated.</p>","<p>Suppose the following collection:</p>
<pre><code>db={
  ""beers"": [
    {
      ""_id"": 1,
      ""name"": ""Lupulus Hibernatus"",
      ""bottle_case_size"": 24,
      ""bottle_liter_capacity"": 0.33,
      ""liter_per_case"": 7.92
    },
    {
      ""_id"": 2,
      ""name"": ""Maes Pils"",
      ""bottle_case_size"": 24,
      ""bottle_liter_capacity"": 0.25,
      ""liter_per_case"": 6
    }
  ]
}</code></pre>","The <code>liter_per_case</code> can be deleted as the program can compute it when needed:
<pre><code>db={
  ""beers"": [
    {
      ""_id"": 1,
      ""name"": ""Lupulus Hibernatus"",
      ""bottle_case_size"": 24,
      ""bottle_liter_capacity"": 0.33,
    },
    {
      ""_id"": 2,
      ""name"": ""Maes Pils"",
      ""bottle_case_size"": 24,
      ""bottle_liter_capacity"": 0.25,
    }
  ]
}</code></pre>"
2022-05-30 02:31:35,2022-05-30 02:35:18,IP Address,31,223,False,2022-06-06 02:35:27,R_Y5haGsz7u0B09Bn,anonymous,EN,Belgium,Technical Lead,,<1 year,"Java,JavaScript","MongoDB Java Driver,MongoDB Node.js Driver,Spring Data MongoDB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 02:38:58,2022-05-30 02:41:21,IP Address,38,143,False,2022-06-06 02:41:24,R_qLxwz50KMaAq5C9,anonymous,EN,Belgium,Developer,,1-2 years,Java,"MongoDB Java Driver,Spring Data MongoDB","Separating data accessed together,Use of relational collections,Relying on transactions,Inconsistent attribute order,Abusive use of indexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 02:45:07,2022-05-30 02:45:11,IP Address,4,3,False,2022-06-06 02:45:12,R_1MYTWfWjPr13gCc,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 02:14:41,2022-05-30 06:34:24,IP Address,27,15582,False,2022-06-06 06:34:32,R_1CIOUBEZGgKD4xC,anonymous,EN,Luxembourg,Developer,,<1 year,Java,"Mongoose,Spring Data MongoDB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 14:04:44,2022-06-01 14:06:52,IP Address,4,128,False,2022-06-08 14:06:59,R_3et7QmElrw1PARh,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-10 00:38:31,2022-06-10 00:47:16,IP Address,100,524,True,2022-06-10 00:47:16,R_22odzU1jbEeQQO5,anonymous,EN,United States of America,Developer,,<1 year,"JavaScript,Python","MongoDB Node.js Driver,PyMongo","Separating data accessed together,Storage of empty values,Human readable values,Database accesses spread across the system,Storage of easily computed values",Regularly - I see them as recurring problems in our projects.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Never,Never,Regularly - I see them as recurring problems in our projects.,Never,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,"Significantly – Yes, I would refactor it",Unsure - Cannot answer,No – I would not refactor it,Unsure - Cannot answer,No – I would not refactor it,"Somewhat – Yes, but I would not refactor it",No – I would not refactor it,"Somewhat – Yes, but I would not refactor it","Significantly – Yes, I would refactor it",No – I would not refactor it,Unsure - Cannot answer,"Yes, it fixes the problem.",,No,Yes,I refactor them just as done in the example.,"Yes, but it's a partial fix to the problem.","For the most part I do agree, and I think that depending on the system, it could be a solid fix. However, if crashes are grabbed constantly, like if this were for a system that details crashes for insurance companies for example, then the crashes should be included within the car object so as to create less $lookups.","As explained above, for the most part, the solution is okay. Crashes may need to be included within a car document based on the system.",Yes,"I didn't initially realize that these issues were in my projects until I saw the example, but we fix them the same way shown in the example.",No,Separating data accessed together,"<p>Normalizing and splitting data into separate tables is natural in relational databases. However, MongoDB allows embedding documents to represent 1-1 or 1-N relationships. This allows better performances by avoiding the <code>$lookup</code> operator (like a join in SQL), which is slow and resource-intensive. Read more <a href=""https://www.mongodb.com/developer/article/schema-design-anti-pattern-separating-data/"" target=""_blank"">here</a>.</p>","<p>Suppose the following collections:</p>
<pre><code>db={
  ""countries"": [
    {
      ""_id"": 1,
      ""name"": ""Switzerland""
    },
    {
      ""_id"": 2,
      ""name"": ""Austria""
    },
    {
      ""_id"": 3,
      ""name"": ""Belgium""
    }
  ],
  ""cities"": [
    {
      ""_id"": 1,
      ""name"": ""Bruxelles"",
      ""country"": 3
    },
    {
      ""_id"": 2,
      ""name"": ""Namur"",
      ""country"": 3
    },
    {
      ""_id"": 3,
      ""name"": ""Zurich"",
      ""country"": 1
    },
    {
      ""_id"": 4,
      ""name"": ""Vienna"",
      ""country"": 2
    }
  ]
}</code></pre>

<p>To query the countries' cities, one needs to do a <code>$lookup</code> that would become inefficient with more data:</p>

<pre><code>db.countries.aggregate([
  {
    ""$lookup"": {
      ""from"": ""cities"",
      ""localField"": ""_id"",
      ""foreignField"": ""country"",
      ""as"": ""country_cities""
    }
  }
])</code></pre>","The cities could be stored together with the countries as follows:
<pre><code>[
  {
    ""_id"": 1,
    ""name"": ""Switzerland"",
    ""cities"": [
      {
        ""_id"": 3,
        ""name"": ""Zurich""
      }
    ]
  },
  {
    ""_id"": 2,
    ""name"": ""Austria""
    ""cities"": [
      {
        ""_id"": 4,
        ""name"": ""Vienna""
      }
    ]
  },
  {
    ""_id"": 3,
    ""name"": ""Belgium"",
    ""cities"": [
      {
        ""_id"": 1,
        ""name"": ""Bruxelles""
      },
      {
        ""_id"": 2,
        ""name"": ""Namur""
      }
    ]
  }
]</code></pre>",Use of relational collections,"<p>A <i>relational table</i> is commonly used to model N-N relationships in relational databases. A <i>relational collection</i> can be used similarly in MongoDB; however, querying such collections requires multiple <code>lookup</code> operators, which is slow and resource-intensive. 
Read more <a href=""https://www.tutorialfor.com/blog-198278.htm"" target=""_blank"">here</a>.</p>","<p>Let's assume the following collections:</p>
<pre><code>db={
  ""cars"": [
    {
      ""_id"": 1,
      ""brand"": ""Tesla"",
      ""model"": ""S"",
      ""registration"": ""2ret879""
    },
    {
      ""_id"": 2,
      ""brand"": ""BMW"",
      ""model"": ""I3"",
      ""registration"": ""1set194""
    }
  ],
  ""crashes"": [
    {
      ""_id"": 1,
      ""date"": ""11-02-2010"",
      ""localisation"": ""50.465744021238685, 4.857857747978128""
    },
    {
      ""_id"": 2,
      ""date"": ""03-10-2000"",
      ""localisation"": ""-13.718087457969677, 29.16153083534761""
    }
  ],
  ""carcrashes"": [
    {
      ""_id"": 1,
      ""crash_id"": 1,
      ""car_id"": 2
    },
    {
      ""_id"": 2,
      ""crash_id"": 1,
      ""car_id"": 1
    },
    {
      ""_id"": 3,
      ""crash_id"": 2,
      ""car_id"": 2
    },
  ]
}</code></pre>

<p>To retrieve the crashes' information, one needs to do two <code>$lookup</code> operations as follows:</p>
<pre><code>db.carcrashes.aggregate([
  {
    ""$lookup"": {
      ""from"": ""cars"",
      ""localField"": ""car_id"",
      ""foreignField"": ""_id"",
      ""as"": ""cars""
    }
  },
  {
    ""$lookup"": {
      ""from"": ""crashes"",
      ""localField"": ""crash_id"",
      ""foreignField"": ""_id"",
      ""as"": ""crashes""
    }
  }
])</code></pre>","The M-N relationship can be represented to one of the collections as such:
<pre><code>db={
  ""cars"": [
    {
      ""_id"": 1,
      ""brand"": ""Tesla"",
      ""model"": ""S"",
      ""registration"": ""2ret879""
    },
    {
      ""_id"": 2,
      ""brand"": ""BMW"",
      ""model"": ""I3"",
      ""registration"": ""1set194""
    }
  ],
  ""crashes"": [
    {
      ""_id"": 1,
      ""date"": ""11-02-2010"",
      ""localisation"": ""50.465744021238685, 4.857857747978128"",
      ""cars_implicated"": [""1"", ""2""]
    },
    {
      ""_id"": 2,
      ""date"": ""03-10-2000"",
      ""localisation"": ""-13.718087457969677, 29.16153083534761"",
      ""cars_implicated"": [""2""]
    }
  ]
}</code></pre>"
2022-06-07 10:02:52,2022-06-07 10:03:05,IP Address,4,13,False,2022-06-14 10:05:11,R_2taIRWSU2oJbs0q,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 10:40:44,2022-06-07 10:41:38,IP Address,31,53,False,2022-06-14 10:41:41,R_1eEvFjGQcLahH4O,anonymous,EN,Norway,Architect,,1-2 years,Python,PyMongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
